Nome, Nome_abreviado_oficial, Tipo_de_Instrumento_do_PNMC, Outros_nomes, Organizacao_coordenadora, Tipo_de_organizacao, Esfera, Descricao, Ano_de_fundacao, Em_andamento, Missao_Objetivos, Linhas_de_atuacao, Como_o_clima_e_citado, Cidade_e_estado_sede, Esfera, Regiao, Bioma, UF, Setor_da_sociedade, Fontes_de_financiamento, Link
Independente,Independente,FALSE,,,,,,,FALSE,,,,,,,,,,,
Não se aplica,NA,FALSE,,,,,,,FALSE,,,,,,,,,,,
Governo Federal,GOV,Não é instrumento,Poder executivo,Independente,Três poderes,Internacional,"No Brasil, o Poder Executivo Federal, também chamado de Governo Federal, é o Poder Executivo no âmbito da União, a esfera federal do Estado brasileiro.",na,TRUE,,,,Brasília-DF,Nacional,Brasil,,,Executivo,,www.gov.br
Presidência da República,PR,Não é instrumento,,Governo Federal,Órgão,,,na,FALSE,,,,Brasília-DF,Nacional,,,,Executivo,,
Supremo Tribunal Federal,STF,Não é instrumento,,Independente,Tribunal,Federal,O Supremo Tribunal Federal (STF) é a instância superior ou última instância do poder judiciário brasileiro,na,TRUE,,,,Brasília-DF,Nacional,Brasil,,,Judiciário,,
Congresso Nacional,na,Não é instrumento,,Independente,Três poderes,Federal,"O Congresso Nacional é o órgão constitucional que exerce, no âmbito federal, as funções do poder legislativo, quais sejam, elaborar/aprovar leis e fiscalizar o Estado brasileiro (suas duas funções típicas), bem como administrar e julgar (funções atípicas).",na,TRUE,,,,Brasília-DF,Nacional,Brasil,,,Legislativo,,
Senado Federal,Senado,Não é instrumento,,Congresso Nacional,Câmara,Federal,,na,TRUE,,,,Brasília-DF,Nacional,Brasil,,,Legislativo,,
Câmara dos Deputados,Câmara,Não é instrumento,,Congresso Nacional,Tribunal,Federal,,na,TRUE,,,,Brasília-DF,Nacional,Brasil,,,Legislativo,,
Casa Civil,na,Não é instrumento,,Presidência da República,Órgão,Federal,,na,TRUE,,,,Brasília-DF,Nacional,,,,Executivo,,
Ministério do Meio Ambiente e Mudança do Clima,MMA,Não é instrumento,,Governo Federal,Órgão,Federal,,na,TRUE,,,,Brasília-DF,Nacional,Brasil,,,Executivo,,
"Ministério da Ciência, Tecnologia e Inovação",MCTI,Não é instrumento,,Governo Federal,Órgão,Federal,,na,TRUE,,,,Brasília-DF,Nacional,,,,Executivo,,
Ministério da Infraestrutura,MI,Não é instrumento,,Governo Federal,Órgão,Federal,,na,TRUE,,,,Brasília-DF,Nacional,,,,Executivo,,
Ministério das Relações Exteriores,MRE,Não é instrumento,,Governo Federal,Órgão,Federal,,na,TRUE,,,,Brasília-DF,Nacional,,,,Executivo,,
Ministério do Planejamento e Orçamento,MPO,Não é instrumento,,Governo Federal,Órgão,Federal,,na,TRUE,,,,Brasília-DF,Nacional,,,,Executivo,,
Ministério da Integração e do Desenvolvimento Regional,MIDR,Não é instrumento,,Governo Federal,Órgão,Federal,,na,TRUE,,,,Brasília-DF,Nacional,,,,Executivo,,
Ministério da Saúde,MS,Não é instrumento,,Governo Federal,Órgão,Federal,,na,TRUE,,,,Brasília-DF,Nacional,,,,Executivo,,
Ministério dos Transportes,MT,Não é instrumento,,Governo Federal,Órgão,Federal,,na,TRUE,,,,Brasília-DF,Nacional,,,,Executivo,,
Ministério de Minas e Energia,MME,Não é instrumento,,Governo Federal,Órgão,Federal,,na,TRUE,,,,Brasília-DF,Nacional,,,,Executivo,,
"Ministério do Desenvolvimento, Indústria, Comércio e Serviços",MDIC,Não é instrumento,,Governo Federal,Órgão,Federal,,na,TRUE,,,,Brasília-DF,Nacional,,,,Executivo,,
"Ministério da Agricultura, Pecuária e Abastecimento",MAPA,Não é instrumento,,Governo Federal,Órgão,Federal,,na,TRUE,,,,Brasília-DF,Nacional,,,,Executivo,,
Ministério do Desenvolvimento Agrário e Agricultura Familiar,MDA,Não é instrumento,Ministério do Desenvolvimento Agrário,Governo Federal,Órgão,Federal,,na,TRUE,,,,Brasília-DF,Nacional,,,,Executivo,,
Ministério das Cidades,MCID,Não é instrumento,,Governo Federal,Órgão,Federal,,na,TRUE,,,,Brasília-DF,Nacional,,,,Executivo,,
Ministério do Planejamento e Orçamento,MPO,Não é instrumento,,Governo Federal,Órgão,Federal,,na,TRUE,,,,Brasília-DF,Nacional,,,,Executivo,,
Painel Brasileiro de Mudanças Climáticas,PBMC,Não é instrumento,,MMA/MCTI,Organismo Científico,Federal,,2009,TRUE,,,,Brasília-DF,Nacional,,,,Executivo,,
Rede Brasileira de Pesquisas sobre Mudanças Climáticas Globais,Rede Clima,Instr. institucional,,"Ministério da Ciência, Tecnologia e Inovação",Organismo Científico,Federal,A Rede Clima atua para atender às necessidades nacionais de conhecimento científico sobre as 'Mudanças Climáticas Globais' e para dar apoio à diplomacia brasileira nas negociações internacionais sobre o tema.,2007,TRUE,,,,Brasília-DF,Nacional,Brasil,,,Executivo,,
Fórum Brasileiro de Mudança Climática,FBMC,Instr. institucional,,Ministério do Meio Ambiente e Mudança do Clima,Organismo Científico,Federal,"O Fórum é o espaço de concertação de atores da sociedade e do Estado, de todo o Brasil. Foi criado em 2000 para conscientizar e mobilizar a sociedade para a discussão e tomada de posição sobre os problemas decorrentes da mudança do clima (Decretos Presidenciais 3.515/2000 e 28/8/2000). Em 2009, o Fórum foi reconhecido como um dos instrumentos institucionais da Política Nacional de Mudanças Climáticas (Lei 12.187/2009). Em 2017, foi reformulado e passou a se chamar Fórum Brasileiro de Mudança do Clima. A alteração está em decreto publicado em 27/07/2017 no Diário Oficial da União.

* Qual é o seu mandato e sua natureza (consultiva ou deliberativa)?
O Fórum produz deliberações e articula-se com as demais instâncias de governança climática no país (Art. 7, Decreto 3.515/2000). A intenção é que produza orientações estratégicas e de grande alcance, obtidas por consenso, deixando às demais instâncias do Executivo as definições de cunho operacional.",2000,TRUE,,,,Brasília-DF,Nacional,Brasil,,,Executivo,,
Comitê Interministerial sobre Mudança do Clima,CIM,Instr. institucional,"CIMCCV, CIMV, Comitê sobre Mudança do Clima e o Crescimento Verde",Governo Federal,Colegiado,Federal,O instrumento institucional responsável por definir diretrizes e deliberar sobre as estratégias do país no âmbito do Acordo de Paris sob a Convenção-Quadro das Nações Unidas sobre Mudança do Clima (conforme Decreto Nº 11.550).,2007,TRUE,,,,Brasília-DF,Nacional,Brasil,,,Executivo,,
"Comissão de Coordenação de Atividades de Meteorologia, Climatologia e Hidrologia",CMCH,Instr. institucional,,"Ministério da Ciência, Tecnologia e Inovação",Colegiado,Federal,"A governança da Política Nacional sobre Mudança do Clima (PNMC) cabe ao Comitê Interministerial sobre Mudança do Clima (CIM), que orienta e elabora a implementação, o monitoramento e avaliação do Plano Nacional sobre Mudança do Clima,instituído pelo Decreto presidencial n° 6.263/2007. O decreto instituiu ainda, no âmbito do CIM, o Grupo Executivo (GEx), com a finalidade de elaborar, implementar, monitorar e avaliar o Plano Nacional sobre Mudança do Clima.",2003,TRUE,,,,Brasília-DF,Nacional,Brasil,,,Executivo,,
Comissão Interministerial de Mudança Global do Clima,CIMGC,Instr. institucional,,"Ministério da Ciência, Tecnologia e Inovação",Colegiado,Federal,"A Comissão Interministerial de Mudança Global do Clima (CIMGC) foi criada em 1999 com o objetivo de articular as ações de governo decorrentes da ConvençãoQuadro das Nações Unidas sobre Mudança do Clima (UNFCCC) e seus instrumentos subsidiários dos quais o Brasil faça parte, dentre outras atribuições1. A CIMGC é a 
Autoridade Nacional Designada para aprovação de projetos no âmbito do Mecanismo de Desenvolvimento Limpo (MDL) e do Protocolo de Quioto. As atribuições da CIMGC incluem definir critérios de elegibilidade adicionais àqueles considerados pelos 
organismos da Convenção encarregados do Mecanismo de Desenvolvimento Limpo 
(MDL), previsto no Artigo 12 do Protocolo de Quioto da Convenção-Quadro das Nações 
Unidas sobre Mudança do Clima, conforme estratégias nacionais de desenvolvimento 
sustentável, bem como autorizar que projetos que resultem em reduções de emissões 
sejam consideradas elegíveis para o MDL. O Protocolo de Quioto, no entanto, teve sua 
vigência encerrada em 2020, razão pela qual a CIMGC se encontra atualmente sem uma 
função aparente",1999,FALSE,,,,Brasília-DF,Nacional,Brasil,,,Executivo,,
Comissão Nacional para REDD+,CONAREDD+,Não é instrumento,,Ministério do Meio Ambiente e Mudança do Clima,Colegiado,Federal,"A Comissão Nacional para REDD+ tem como objetivos coordenar, acompanhar, monitorar e revisar a Estratégia Nacional para REDD+ - ENREDD+ e coordenar a elaboração dos requisitos para o acesso a pagamentos por resultados de REDD+ no País, reconhecidos pela Convenção-Quadro das Nações Unidas sobre Mudança do Clima (conforme Art 1º do Decreto Nº 11.548)",2015,TRUE,,,,Brasília-DF,Nacional,Brasil,,,Executivo,,
Comissão Nacional de Biodiversidade,na,CANCELA,,Ministério do Meio Ambiente e Mudança do Clima,Colegiado,Federal,,na,FALSE,,,,,Nacional,Brasil,,,Executivo,,
Comitê Gestor do Fundo Nacional sobre Mudança do Clima,na,Não é instrumento,,Ministério do Meio Ambiente e Mudança do Clima,Colegiado,Federal,Tem como objetivo assegurar recursos para apoiar projetos ou estudos e financiar empreendimentos que visem à mitigação da mudança do clima e à adaptação à mudança do clima e aos seus efeitos (conforme Art 1º do Decreto Nº 11.549),2009,TRUE,,,,Brasília-DF,Nacional,Brasil,,,Executivo,,
Conselho Deliberativo do Fundo Nacional do Meio Ambiente,na,Não é instrumento,,Ministério do Meio Ambiente e Mudança do Clima,Colegiado,Federal,,2000,FALSE,,,,Brasília-DF,Nacional,Brasil,,,Executivo,,
Conselho Nacional de Mudança do Clima,CNMC,Não é instrumento,,Ministério do Meio Ambiente e Mudança do Clima,Colegiado,Federal,,NS,TRUE,,,,Brasília-DF,Nacional,Brasil,,,Executivo,,
Conselho Nacional do Meio Ambiente,CONAMA,Não é instrumento,,Ministério do Meio Ambiente e Mudança do Clima,Colegiado,Federal,"O Conselho Nacional do Meio Ambiente - CONAMA é o órgão consultivo e deliberativo do Sistema Nacional do Meio Ambiente-SISNAMA (instituído pela Lei 6.938/81, que dispõe sobre a Política Nacional do Meio Ambiente, regulamentada pelo Decreto 99.274/90)",na,TRUE,,,,Brasília-DF,Nacional,Brasil,,,Executivo,,
Agência Nacional de Águas e Saneamento Básico,ANA,Não é instrumento,,Ministério da Integração e do Desenvolvimento Regional,Agência,Federal,,na,TRUE,,,,Brasília-DF,Nacional,Brasil,,,Executivo,,
Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis,IBAMA,Não é instrumento,,Ministério do Meio Ambiente e Mudança do Clima,Instituto,Federal,,na,TRUE,,,,Brasília-DF,Nacional,Brasil,,,Executivo,,
Instituto Chico Mendes de Conservação da Biodiversidade,Instituto Chico Mendes,CANCELA,,Ministério do Meio Ambiente e Mudança do Clima,Instituto,Federal,,na,TRUE,,,,,Nacional,Brasil,,,Executivo,,
Instituto Nacional de Pesquisas Espaciais,INPE,Não é instrumento,,"Ministério da Ciência, Tecnologia e Inovação",Instituto,Federal,,na,TRUE,,,,Brasília-DF,Nacional,,,,Executivo,,
Instituto de Pesquisa Econômica Aplicada,IPEA,Não é instrumento,,Ministério do Planejamento e Orçamento,Instituto,Federal,,na,TRUE,,,,Brasília-DF,Nacional,,,,Executivo,,
Secretaria Nacional de Mudança do Clima,SMC,CANCELA,,Ministério do Meio Ambiente e Mudança do Clima,Secretaria,Federal,,na,FALSE,,,,,Nacional,Brasil,,,Executivo,,
Secretaria Extraordinária de Controle do Desmatamento e Ordenamento Ambiental Territorial,SECD,CANCELA,,Ministério do Meio Ambiente e Mudança do Clima,Secretaria,Federal,,na,FALSE,,,,,Nacional,Brasil,,,Executivo,,
"Secretaria Nacional de Biodiversidade, Florestas e Direitos Animais",na,CANCELA,,Ministério do Meio Ambiente e Mudança do Clima,Secretaria,Federal,,na,FALSE,,,,,Nacional,Brasil,,,Executivo,,
Secretaria Executiva,SECEX,CANCELA,,Ministério do Meio Ambiente e Mudança do Clima,Secretaria,Federal,,na,FALSE,,,,,Nacional,Brasil,,,Executivo,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
,,,,,,,,,FALSE,,,,,,,,,,,
